outcome,predictor,beta,se,t,p,p_bonferroni
mean_lang_fc,nlang_z,-0.03081157907753987,0.039561585274872996,-0.7788256932441336,0.44025106157388894,1.0
mean_lang_fc,entropy_z,-0.03816729873109574,0.03237265550274729,-1.1789980815091519,0.24473523676583328,0.7342057102974998
IFG_STG_left,nlang_z,0.07306754489204927,0.05402736804094823,1.3524172570588702,0.1831519673330966,0.5494559019992898
IFG_STG_left,entropy_z,-0.09632430414682705,0.04420978990497166,-2.1788003144524057,0.03474559278107866,0.10423677834323597
IFG_STG_right,nlang_z,0.04953984509592474,0.056939875886206005,0.8700378131299376,0.38900159774577636,1.0
IFG_STG_right,entropy_z,-0.06451997123333209,0.04659305165923364,-1.3847552142583421,0.17310937553923303,0.5193281266176991
