outcome,predictor,beta,se,t,p,p_bonf_3outcomes
mean_lang_fc,nlang_z,-0.015907813938525125,0.040004842174090414,-0.3976472115375073,0.6928129347202682,1.0
mean_lang_fc,entropy_z,-0.04271291428493967,0.03203223288143055,-1.3334354318365622,0.18925143287881624,0.5677542986364488
mean_lang_fc,mean_FD_z,0.028414138275506966,0.03140779846237397,0.9046841761146245,0.370559809398193,1.0
IFG_STG_left,nlang_z,-0.008851857618726415,0.04964744570286318,-0.1782943209546816,0.859310218725909,1.0
IFG_STG_left,entropy_z,-0.03830815298125996,0.039753151276079264,-0.9636507233153915,0.34048759370378034,1.0
IFG_STG_left,mean_FD_z,0.04549625935699625,0.038978205738731564,1.1672230287344365,0.24940711549529215,0.7482213464858765
IFG_STG_right,nlang_z,0.011880611619845952,0.05239128977522876,0.2267669238687697,0.8216552565602762,1.0
IFG_STG_right,entropy_z,-0.03160375163504367,0.04195017162511268,-0.7533640605209033,0.45524361448842027,1.0
IFG_STG_right,mean_FD_z,0.09666551453368086,0.04113239750536855,2.3501064950338524,0.023317547110077705,0.06995264133023311
