ROI,r_with_mean_FC,p,mean_FA_roi,n
IFG_L,0.05660983092129369,0.6931607880516143,0.0016339021991286487,51
STG_L,0.015735250778983856,0.91273212427997,0.03255344024567319,51
AngG_L,0.09944164964041856,0.4875106201011722,0.007674912489036089,51
SMA_L,,,0.0,51
IFG_R,-0.004649779065043512,0.9741666197098156,0.00460378114756427,51
STG_R,0.16375447786371283,0.2508776732175847,0.04000326756991184,51
