outcome,predictor,beta,se,t,p,p_bonferroni
mean_lang_fc,nlang_z,-0.06900263047627694,0.07396962006324334,-0.9328509517458698,0.3598195130887146,1.0
mean_lang_fc,entropy_z,-0.03864975768470258,0.035732847633736964,-1.0816310550131367,0.2897400128257742,0.8692200384773227
IFG_STG_left,nlang_z,0.022729068482122465,0.10283016061728252,0.22103503821915088,0.8268604986268203,1.0
IFG_STG_left,entropy_z,-0.0784379557651442,0.04967464289188541,-1.5790341147667801,0.12689912164861794,0.3806973649458538
IFG_STG_right,nlang_z,0.04102610137832555,0.14633702016302272,0.28035353824084674,0.7815131650820278,1.0
IFG_STG_right,entropy_z,-0.02255238927955109,0.0706917034343235,-0.3190245556963202,0.7523582274308974,1.0
