outcome,predictor,beta,se,t,p,p_bonferroni,sig_uncorrected,sig_bonferroni
mean_lang_fc,nlang_z,0.007087874840727881,0.03883556248538448,0.1825099055381355,0.8560023322733048,1.0,False,False
mean_lang_fc,entropy_z,-0.027865054063011888,0.03193642497464387,-0.8725163848218931,0.38755866729245525,1.0,False,False
IFG_STG_left,nlang_z,-0.021261700576255337,0.06293656455146965,-0.33782747323088275,0.73706415533696,1.0,False,False
IFG_STG_left,entropy_z,-0.05972884095819074,0.051755884125954915,-1.1540492828377265,0.25457235389074945,0.7637170616722484,False,False
IFG_STG_right,nlang_z,0.07339405676598887,0.06520094458427456,1.1256594092916004,0.2662775571641694,0.7988326714925083,False,False
IFG_STG_right,entropy_z,-0.0816767963359572,0.0536179970555403,-1.5233093517341227,0.13467863378849465,0.40403590136548395,False,False
