participant_id,nlang,entropy_curr_tot_exp,age,edu,sex_binary,nlang_z,entropy_z,age_z,edu_z
sub-pp128,1,0.0,26.5,16,0,-2.044702947824068,-1.9163922961084112,0.7766202158888985,0.10939250327792688
sub-pp107,2,0.3,24.3,19,0,-1.4910434364829666,-1.0119267731787405,0.23413353883604357,1.3842359068629966
sub-pp050,2,0.5,21.5,15,1,-1.4910434364829666,-0.4089497578922934,-0.4563040501403177,-0.31555529791709636
sub-pp171,3,0.8,26.1,17,0,-0.9373839251418649,0.49551576503737743,0.6779862746065616,0.5343403044729501
sub-pp147,3,0.0,27.2,15,1,-0.9373839251418649,-1.9163922961084112,0.9492296131329887,-0.31555529791709636
sub-pp145,3,0.2,28.5,13,0,-0.9373839251418649,-1.3134152808219641,1.269789922300585,-1.165450900307143
sub-pp035,3,0.2,18.8,12,1,-0.9373839251418649,-1.3134152808219641,-1.1220831537960942,-1.5903987015021661
sub-pp054,3,0.4,23.3,16,0,-0.9373839251418649,-0.7104382655355169,-0.012451314369799689,0.10939250327792688
sub-pp074,3,0.5,24.8,15,1,-0.9373839251418649,-0.4089497578922934,0.3574259654389652,-0.31555529791709636
sub-pp073,3,0.3,21.7,15,1,-0.9373839251418649,-1.0119267731787405,-0.40698707949914925,-0.31555529791709636
sub-pp038,3,0.5,21.6,15,1,-0.9373839251418649,-0.4089497578922934,-0.43164556481973304,-0.31555529791709636
sub-pp078,3,0.5,21.8,14,0,-0.9373839251418649,-0.4089497578922934,-0.3823285941785646,-0.7405030991121196
sub-pp072,3,0.3,23.1,16,0,-0.9373839251418649,-1.0119267731787405,-0.06176828501096816,0.10939250327792688
sub-pp006,3,0.0,37.6,21,1,-0.9373839251418649,-1.9163922961084112,3.513712086473759,2.234131509253043
sub-pp085,3,0.6,20.8,16,1,-0.9373839251418649,-0.10746125024906988,-0.6289134473844078,0.10939250327792688
sub-pp095,3,0.9,19.9,14,1,-0.9373839251418649,0.7970042726806009,-0.8508398152696672,-0.7405030991121196
sub-pp018,3,0.6,18.4,12,1,-0.9373839251418649,-0.10746125024906988,-1.220717095078432,-1.5903987015021661
sub-pp013,3,0.7,26.9,17,1,-0.9373839251418649,0.1940272573941536,0.8752541571712356,0.5343403044729501
sub-pp001,3,0.7,21.3,15,1,-0.9373839251418649,0.1940272573941536,-0.5056210207814862,-0.31555529791709636
sub-pp010,3,0.7,29.2,16,0,-0.9373839251418649,0.1940272573941536,1.4423993195446752,0.10939250327792688
sub-pp120,3,0.5,22.8,15,1,-0.9373839251418649,-0.4089497578922934,-0.13574374097272132,-0.31555529791709636
sub-pp118,3,0.2,20.2,15,1,-0.9373839251418649,-1.3134152808219641,-0.7768643593079141,-0.31555529791709636
sub-pp163,3,0.2,25.0,16,1,-0.9373839251418649,-1.3134152808219641,0.4067429360801337,0.10939250327792688
sub-pp160,3,0.4,21.2,15,1,-0.9373839251418649,-0.7104382655355169,-0.5302795061020709,-0.31555529791709636
sub-pp158,3,0.5,20.8,16,1,-0.9373839251418649,-0.4089497578922934,-0.6289134473844078,0.10939250327792688
sub-pp168,3,0.4,22.0,15,1,-0.9373839251418649,-0.7104382655355169,-0.3330116235373961,-0.31555529791709636
sub-pp170,4,0.7,23.1,18,1,-0.38372441380076333,0.1940272573941536,-0.06176828501096816,0.9592881056679734
sub-pp114,4,0.1,20.5,15,1,-0.38372441380076333,-1.6149037884651878,-0.7028889033461609,-0.31555529791709636
sub-pp117,4,0.6,19.9,13,1,-0.38372441380076333,-0.10746125024906988,-0.8508398152696672,-1.165450900307143
sub-pp024,4,0.7,20.8,13,1,-0.38372441380076333,0.1940272573941536,-0.6289134473844078,-1.165450900307143
sub-pp020,4,0.1,29.8,18,0,-0.38372441380076333,-1.6149037884651878,1.5903502314681814,0.9592881056679734
sub-pp008,4,0.6,20.2,15,1,-0.38372441380076333,-0.10746125024906988,-0.7768643593079141,-0.31555529791709636
sub-pp135,4,0.5,24.9,17,1,-0.38372441380076333,-0.4089497578922934,0.382084450759549,0.5343403044729501
sub-pp009,4,0.8,19.5,13,1,-0.38372441380076333,0.49551576503737743,-0.9494737565520043,-1.165450900307143
sub-pp045,4,1.0,36.4,17,1,-0.38372441380076333,1.0984927803238245,3.2178102626267466,0.5343403044729501
sub-pp022,4,0.5,24.6,17,1,-0.38372441380076333,-0.4089497578922934,0.30810899479779674,0.5343403044729501
sub-pp021,4,0.6,27.3,17,1,-0.38372441380076333,-0.10746125024906988,0.9738880984535734,0.5343403044729501
sub-pp004,4,0.0,19.5,14,1,-0.38372441380076333,-1.9163922961084112,-0.9494737565520043,-0.7405030991121196
sub-pp069,4,0.7,22.6,16,1,-0.38372441380076333,0.1940272573941536,-0.1850607116138898,0.10939250327792688
sub-pp126,4,0.4,21.8,15,1,-0.38372441380076333,-0.7104382655355169,-0.3823285941785646,-0.31555529791709636
sub-pp137,4,0.9,18.7,12,1,-0.38372441380076333,0.7970042726806009,-1.146741639116679,-1.5903987015021661
sub-pp067,4,0.8,23.8,16,0,-0.38372441380076333,0.49551576503737743,0.11084111223312194,0.10939250327792688
sub-pp166,4,0.1,24.0,16,1,-0.38372441380076333,-1.6149037884651878,0.16015808287429043,0.10939250327792688
sub-pp111,4,1.1,22.6,16,1,-0.38372441380076333,1.3999812879670483,-0.1850607116138898,0.10939250327792688
sub-pp099,4,1.0,19.7,13,0,-0.38372441380076333,1.0984927803238245,-0.9001567859108358,-1.165450900307143
sub-pp151,4,0.2,21.4,15,1,-0.38372441380076333,-1.3134152808219641,-0.4809625354609024,-0.31555529791709636
sub-pp152,4,0.5,18.4,12,0,-0.38372441380076333,-0.4089497578922934,-1.220717095078432,-1.5903987015021661
sub-pp156,4,1.0,22.1,15,1,-0.38372441380076333,1.0984927803238245,-0.30835313821681143,-0.31555529791709636
sub-pp149,4,0.8,22.4,16,0,-0.38372441380076333,0.49551576503737743,-0.23437768225505914,0.10939250327792688
sub-pp159,4,0.5,20.2,14,0,-0.38372441380076333,-0.4089497578922934,-0.7768643593079141,-0.7405030991121196
sub-pp116,4,1.1,18.3,14,1,-0.38372441380076333,1.3999812879670483,-1.2453755803990159,-0.7405030991121196
sub-pp115,4,1.2,29.2,17,0,-0.38372441380076333,1.7014697956102716,1.4423993195446752,0.5343403044729501
sub-pp108,4,0.5,24.8,17,1,-0.38372441380076333,-0.4089497578922934,0.3574259654389652,0.5343403044729501
sub-pp007,4,0.4,24.2,17,1,-0.38372441380076333,-0.7104382655355169,0.2094750535154589,0.5343403044729501
sub-pp105,4,0.1,25.4,17,1,-0.38372441380076333,-1.6149037884651878,0.5053768773624706,0.5343403044729501
sub-pp124,4,0.3,20.8,14,0,-0.38372441380076333,-1.0119267731787405,-0.6289134473844078,-0.7405030991121196
sub-pp030,5,1.2,24.2,18,1,0.16993509754033825,1.7014697956102716,0.2094750535154589,0.9592881056679734
sub-pp164,5,0.7,24.8,19,0,0.16993509754033825,0.1940272573941536,0.3574259654389652,1.3842359068629966
sub-pp155,5,0.0,23.9,16,1,0.16993509754033825,-1.9163922961084112,0.13549959755370575,0.10939250327792688
sub-pp150,5,0.8,21.7,15,0,0.16993509754033825,0.49551576503737743,-0.40698707949914925,-0.31555529791709636
sub-pp162,5,0.9,21.7,14,1,0.16993509754033825,0.7970042726806009,-0.40698707949914925,-0.7405030991121196
sub-pp106,5,0.8,24.2,17,0,0.16993509754033825,0.49551576503737743,0.2094750535154589,0.5343403044729501
sub-pp076,5,1.0,21.8,15,0,0.16993509754033825,1.0984927803238245,-0.3823285941785646,-0.31555529791709636
sub-pp048,5,0.8,19.4,13,0,0.16993509754033825,0.49551576503737743,-0.974132241872589,-1.165450900307143
sub-pp042,5,1.1,22.8,15,1,0.16993509754033825,1.3999812879670483,-0.13574374097272132,-0.31555529791709636
sub-pp052,5,1.0,24.9,16,0,0.16993509754033825,1.0984927803238245,0.382084450759549,0.10939250327792688
sub-pp068,5,0.6,21.8,14,1,0.16993509754033825,-0.10746125024906988,-0.3823285941785646,-0.7405030991121196
sub-pp092,5,0.8,33.2,18,1,0.16993509754033825,0.49551576503737743,2.428738732368049,0.9592881056679734
sub-pp093,5,0.3,21.6,17,1,0.16993509754033825,-1.0119267731787405,-0.43164556481973304,0.5343403044729501
sub-pp032,5,0.6,21.5,17,1,0.16993509754033825,-0.10746125024906988,-0.4563040501403177,0.5343403044729501
