participant_id,nlang,entropy_curr_tot_exp,age,edu,sex_binary,nlang_z,entropy_z,age_z,edu_z,data_complete,nlang_tertile
sub-pp128,1,0.0,26.5,16,0,-2.044702947824068,-1.9163922961084112,0.7766202158888985,0.1093925032779268,True,low
sub-pp145,3,0.2,28.5,13,0,-0.9373839251418647,-1.313415280821964,1.269789922300585,-1.165450900307143,True,low
sub-pp009,4,0.8,19.5,13,1,-0.3837244138007633,0.4955157650373774,-0.9494737565520044,-1.165450900307143,True,low
sub-pp006,3,0.0,37.6,21,1,-0.9373839251418647,-1.9163922961084112,3.513712086473759,2.234131509253043,True,low
sub-pp010,3,0.7,29.2,16,0,-0.9373839251418647,0.1940272573941536,1.4423993195446752,0.1093925032779268,True,low
sub-pp116,4,1.1,18.3,14,1,-0.3837244138007633,1.3999812879670483,-1.245375580399016,-0.7405030991121196,True,low
sub-pp021,4,0.6,27.3,17,1,-0.3837244138007633,-0.1074612502490698,0.9738880984535734,0.5343403044729501,True,low
sub-pp170,4,0.7,23.1,18,1,-0.3837244138007633,0.1940272573941536,-0.0617682850109681,0.9592881056679734,True,low
sub-pp099,4,1.0,19.7,13,0,-0.3837244138007633,1.0984927803238245,-0.9001567859108358,-1.165450900307143,True,low
sub-pp072,3,0.3,23.1,16,0,-0.9373839251418647,-1.0119267731787405,-0.0617682850109681,0.1093925032779268,True,low
sub-pp105,4,0.1,25.4,17,1,-0.3837244138007633,-1.6149037884651878,0.5053768773624706,0.5343403044729501,True,low
sub-pp171,3,0.8,26.1,17,0,-0.9373839251418647,0.4955157650373774,0.6779862746065616,0.5343403044729501,True,low
sub-pp045,4,1.0,36.4,17,1,-0.3837244138007633,1.0984927803238245,3.217810262626746,0.5343403044729501,True,low
sub-pp020,4,0.1,29.8,18,0,-0.3837244138007633,-1.6149037884651878,1.5903502314681814,0.9592881056679734,True,low
sub-pp074,3,0.5,24.8,15,1,-0.9373839251418647,-0.4089497578922934,0.3574259654389652,-0.3155552979170963,True,low
sub-pp013,3,0.7,26.9,17,1,-0.9373839251418647,0.1940272573941536,0.8752541571712356,0.5343403044729501,True,low
sub-pp035,3,0.2,18.8,12,1,-0.9373839251418647,-1.313415280821964,-1.1220831537960942,-1.590398701502166,True,low
sub-pp030,5,1.2,24.2,18,1,0.1699350975403382,1.7014697956102716,0.2094750535154589,0.9592881056679734,True,mid
sub-pp033,5,0.7,24.8,19,1,0.1699350975403382,0.1940272573941536,0.3574259654389652,1.3842359068629966,True,mid
sub-pp023,5,0.2,24.1,17,0,0.1699350975403382,-1.313415280821964,0.1848165681948751,0.5343403044729501,True,mid
sub-pp164,5,0.7,24.8,19,0,0.1699350975403382,0.1940272573941536,0.3574259654389652,1.3842359068629966,True,mid
sub-pp042,5,1.1,22.8,15,1,0.1699350975403382,1.3999812879670483,-0.1357437409727213,-0.3155552979170963,True,mid
sub-pp106,5,0.8,24.2,17,0,0.1699350975403382,0.4955157650373774,0.2094750535154589,0.5343403044729501,True,mid
sub-pp092,5,0.8,33.2,18,1,0.1699350975403382,0.4955157650373774,2.428738732368049,0.9592881056679734,True,mid
sub-pp150,5,0.8,21.7,15,0,0.1699350975403382,0.4955157650373774,-0.4069870794991492,-0.3155552979170963,True,mid
sub-pp112,5,1.0,20.9,14,1,0.1699350975403382,1.0984927803238245,-0.604254962063824,-0.7405030991121196,True,mid
sub-pp025,5,0.6,21.4,13,1,0.1699350975403382,-0.1074612502490698,-0.4809625354609024,-1.165450900307143,True,mid
